Type;NAME;ISO COUNTRY CODE;RETURN ON EQUITY - TOTAL (%);TOTAL DEBT % COMMON EQUITY;RESEARCH & DEVELOPMENT/SALES -;INDUSTRY GROUP;ACCOUNTING STANDARDS FOLLOWED;CSR Sustainability External Audit;Audit Committee;CSR Sustainability Committee
J:SFTB;SOFTBANK GROUP;JP;-14.67;241.34;1.35;142;IFRS;NA;N;Y
IN:TSE;TATA CONSULTANCY SVS.;IN;37.26;9.72;0.22;150;Local standards;Y;Y;Y
@TXN;TEXAS INSTRUMENTS;US;55.71;65.15;10.16;130;US standards (GAAP);NA;Y;Y
U:UNP;UNION PACIFIC;US;30.71;139.01;NA;81;US standards (GAAP);NA;Y;Y
U:LIN;LINDE;US;4.54;28.44;0.79;92;US standards (GAAP);Y;Y;Y
@CHTR;CHARTER COMMS.CL.A;US;4.93;251.68;NA;257;US standards (GAAP);NA;Y;Y
U:IBM;INTERNATIONAL BUS.MCHS.;US;50.12;301.8;7.09;150;US standards (GAAP);NA;Y;Y
U:LOW;LOWE'S COMPANIES;US;151.99;979.01;NA;85;US standards (GAAP);Y;Y;Y
K:AGP;AIA GROUP;HK;16.75;19;NA;106;IFRS;Y;Y;Y
CN:PNS;PING AN INSURANCE (GP.) CO. OF CHINA 'A';CN;24.66;260.31;NA;106;IFRS;Y;N;Y
U:UPS;UNITED PARCEL SER.'B';US;141.22;802.79;NA;40;US standards (GAAP);Y;Y;Y
CN:YWU;WULIANGYE YIBIN 'A';CN;25.26;0.56;0.28;68;Local standards;NA;N;Y
U:C;CITIGROUP;US;10.29;262.55;NA;102;US standards (GAAP);Y;Y;Y
U:HON;HONEYWELL INTL.;US;33.5;86.53;NA;101;US standards (GAAP);NA;Y;Y
J:TTMO;NTT DOCOMO INC;JP;11.14;5.76;1.89;142;IFRS;Y;Y;Y
U:PM;PHILIP MORRIS INTL.;US;NA;-268.64;1.52;79;US standards (GAAP);NA;Y;Y
C:SHOP;SHOPIFY SUBD.VTG.SHS.'A';CA;-4.88;0;19.89;151;US standards (GAAP);NA;Y;N
F:FP;TOTAL;FR;9.53;52.15;0.64;97;IFRS;Y;Y;Y
U:WFC;WELLS FARGO & CO;US;10.6;200.91;NA;102;US standards (GAAP);Y;Y;Y
GSK;GLAXOSMITHKLINE;GB;58.93;267.5;12.62;95;IFRS;Y;Y;Y
U:LMT;LOCKHEED MARTIN;US;275.6;404.67;2.17;44;US standards (GAAP);Y;Y;Y
U:AMT;AMERICAN TOWER;US;36.33;475.84;NA;226;US standards (GAAP);N;Y;N
U:BA;BOEING;US;1047.92;-316.84;3.76;98;US standards (GAAP);NA;Y;Y
CN:MER;CHINA MERCHANTS BANK 'A';CN;16.84;301.52;NA;102;IFRS;Y;Y;Y
I:ENEL;ENEL;IT;7;202.46;NA;169;IFRS;Y;Y;Y
@JD;JD COM ADR 1:2;CN;17.28;12.28;2.18;87;US standards (GAAP);NA;Y;N
J:KEYE;KEYENCE;JP;11.84;0;2.76;214;Local standards;NA;N;N
HSBA;HSBC HOLDINGS;GB;3.71;328.78;NA;102;IFRS;Y;Y;Y
