,CIK,Name,Year,TOTAL ASSETS (U.S.$),COMMON EQUITY (U.S.$),MARKET CAPITALIZATION (U.S.$),NET SALES OR REVENUES (U.S.$),NET INCOME (U.S.$),EARNINGS PER SHARE,EARNINGS BEF INTEREST & TAXES,DIVIDEND YIELD - CLOSE,NET SALES/REVENUES -1YR ANN GR,NET INCOME - 1 YR ANNUAL GROWT,RETURN ON EQUITY - TOTAL (%),RETURN ON ASSETS,RETURN ON INVESTED CAPITAL,"SELLING, GENERAL & ADM / SALES",RESEARCH & DEVELOPMENT/SALES,OPERATING PROFIT MARGIN,TOTAL DEBT % TOTAL CAPITAL/STD,QUICK RATIO,CURRENT RATIO,"BRANDS, PATENTS - NET","BRANDS, PATENTS - ACCUM AMORT","BRANDS, PATENTS - GROSS",EMPLOYEES,EMPLOYEES - 1 YR ANNUAL GROWTH,SALES PER EMPLOYEE,ASSETS PER EMPLOYEE,CURRENT LIABILITIES-TOTAL,TOTAL LIABILITIES,TOTAL INVESTMENT RETURN,PRICE/BOOK VALUE RATIO - CLOSE,PRICE VOLATILITY,FOREIGN ASSETS % TOTAL ASSETS,FOREIGN SALES % TOTAL SALES,FOREIGN INCOME % TOTAL INCOME,FOREIGN RETURN ON ASSETS,FOREIGN INCOME MARGIN,EXPORTS,PROVSION FOR RISKS & CHARGES,WORKING CAPITAL,RETAINED EARNINGS,ACCOUNTS PAYABLE/SALES,CASH FLOW/SALES,COST OF GOODS SOLD/SALES,TobinQ,AltmanZ
0,22470,COMMERCIAL INTERTECH CORPORATION,1992,349999,96963,193238,450608,17436,0.647,29626,3.49,3.12,57.04,13.83,6.3,9.71,18.51,4.3,6.98,46.02,0.9,1.52,,,,3850,-3.75,117,91,111292,228150,18.71,1.99,23.25,41.3,53.25,66.29,14.43,8.7,,15792,57721,69199,7.863,6.9,66.48,1.27507221449204,2.53679685814975
1,22470,COMMERCIAL INTERTECH CORPORATION,1993,347335,98179,195734,448577,14015,0.787,26346,3.49,-0.45,-19.62,12.2,5.11,7.99,18.81,4.26,5.85,44.16,0.94,1.55,,,,3720,-3.38,121,93,110199,224398,3.49,1.99,20.97,43.02,45.98,38.19,6.71,4.86,,19867,60766,75087,7.443,6.14,67.34,1.28086717434177,2.56482774258229
2,22470,COMMERCIAL INTERTECH CORPORATION,1994,422978,129129,283086,516931,25081,1.14,32755,2.56,15.24,78.96,20.22,7.36,11.96,18.7,4.2,7.56,39.43,1.09,1.74,,,,4484,20.54,115,94,134966,269218,46.94,2.19,21.75,38.75,43.83,21.85,5.21,3.77,,21188,100400,71541,8.606,5.21,66.06,1.36398346958943,2.61798603141583
3,22470,COMMERCIAL INTERTECH CORPORATION,1995,459856,158638,279841,621836,30383,1.82,46854,2.81,20.29,21.14,19.67,7.9,13.09,18.26,4.21,7.28,34.37,0.98,1.61,,,,4752,5.98,131,97,157174,276724,0.05,1.76,21.16,42.79,48.43,31.93,7.34,4.8,,23711,95846,94056,9.404,5.04,67.16,1.26356729063011,2.81816679941207
4,22470,COMMERCIAL INTERTECH CORPORATION,1996,337116,62989,184749,465209,17395,1.27,30821,3.96,-25.19,-42.75,13.84,5.52,9.5,15.05,4.04,7.61,52.64,0.97,1.64,,,,3340,-29.71,139,101,116223,249955,60.91,2.93,26.41,42.3,45.74,19.53,4.85,3.25,,24822,74180,67808,11.102,7.32,70.6,1.36118131444369,2.65699861745531
5,22470,COMMERCIAL INTERTECH CORPORATION,1997,384798,80916,293097,526624,26791,1.72,50811,2.6,13.2,54.02,34.6,9.31,16.68,15.86,1.33,9.26,53.03,0.86,1.49,,,,3805,13.92,138,101,127345,281968,56.26,3.62,27.01,50.63,44.66,32.37,8.1,6.71,,25007,62651,85884,9.947,7.33,70.53,1.55140879110598,2.92216752544922
6,22470,COMMERCIAL INTERTECH CORPORATION,1998,409225,108881,184627,576449,32807,1.9,59514,4.52,9.46,22.46,32.63,9.93,17.09,14,1.2,9.58,46.24,1,1.69,,,,3904,2.6,148,105,122959,278813,-34.83,1.72,28.37,49.47,43.08,28.12,7.67,6.25,,25210,85144,109289,8.829,8.25,72.32,1.18509621846172,2.89534796925939
7,22470,COMMERCIAL INTERTECH CORPORATION,1999,402010,115177,187363,534994,19780,1.14,40695,4.71,-7.19,-39.71,16.06,6.32,10.55,12.29,3.55,8.59,44.07,0.96,1.67,,,,3836,-1.74,139,105,114810,266063,3.18,1.65,27.53,15.85,42.48,,,,,28372,77035,119224,9.199,6.58,72.28,1.17956269744533,2.71921525956421
8,22470,COMMERCIAL INTERTECH CORPORATION,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,22470,COMMERCIAL INTERTECH CORPORATION,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,22470,COMMERCIAL INTERTECH CORPORATION,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,22470,COMMERCIAL INTERTECH CORPORATION,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,22470,COMMERCIAL INTERTECH CORPORATION,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,22470,COMMERCIAL INTERTECH CORPORATION,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22470,COMMERCIAL INTERTECH CORPORATION,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,22470,COMMERCIAL INTERTECH CORPORATION,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22470,COMMERCIAL INTERTECH CORPORATION,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,22470,COMMERCIAL INTERTECH CORPORATION,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,22470,COMMERCIAL INTERTECH CORPORATION,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,22470,COMMERCIAL INTERTECH CORPORATION,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,22470,COMMERCIAL INTERTECH CORPORATION,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22470,COMMERCIAL INTERTECH CORPORATION,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22470,COMMERCIAL INTERTECH CORPORATION,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,22470,COMMERCIAL INTERTECH CORPORATION,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,22470,COMMERCIAL INTERTECH CORPORATION,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,22470,COMMERCIAL INTERTECH CORPORATION,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,22470,COMMERCIAL INTERTECH CORPORATION,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,22470,COMMERCIAL INTERTECH CORPORATION,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,30099,"DRESSER INDUSTRIES, INC.",1992,2958000,949400,2464683,3797000,-365500,0.26,162900,3.33,-18.69,,-26.97,-11.19,-20.75,19.43,0.29,3.03,9.86,0.58,1.07,,,,27400,-13.84,139,108,1317900,1857800,1.37,2.6,23.25,34.44,40.7,153.65,17.35,11.44,406700,698300,88700,911700,7.324,-7.09,74.65,1.51226605814739,2.71602082224673
29,30099,"DRESSER INDUSTRIES, INC.",1993,3412700,943600,2855460,4216000,126700,0.92,262800,2.89,11.04,,13.39,4.55,10.14,16.95,1.93,5.51,32.99,0.62,1.13,,,,25900,-5.47,163,132,1432600,2317800,18.61,3.03,22.41,40.69,45.1,77.7,13,9.49,621500,707600,182300,954600,6.399,6.28,71.84,1.5602191812934,2.67204452576946
30,30099,"DRESSER INDUSTRIES, INC.",1994,4130400,1632300,3470207,5307300,361800,1.98,645300,3.6,25.88,185.56,28.09,10.46,20.5,14.96,1.93,6.39,22.47,1.01,1.61,,,,29202,12.75,182,141,1366800,2414500,-5.76,2.13,21.13,36.15,52.86,85.39,19.38,10.32,938700,668200,830200,1212600,6.813,8,72.64,1.44497070501646,3.30220158835425
31,30099,"DRESSER INDUSTRIES, INC.",1995,4518500,1656800,4434739,5612600,229100,1.17,373500,2.79,5.75,-36.68,13.93,6.01,11.45,11.37,1.72,6.16,25.4,0.71,1.29,,,,31457,7.72,178,144,1712400,2782700,32.74,2.68,20.22,36.22,51.15,86.63,18.29,10.43,968100,689200,488800,1285400,9.272,8.23,77.07,1.61479229832909,2.98678219901803
32,30099,"DRESSER INDUSTRIES, INC.",1996,4966200,1582200,5444189,6533200,257500,1.44,459000,2.19,16.4,12.4,15.9,6.26,12.1,12.87,1.69,7,32.65,0.74,1.33,,,,32100,2.04,204,155,1861800,3228400,29.97,3.44,20.14,34.9,49.2,81.73,21.55,11.62,1172600,676300,607700,1420800,8.734,7.97,74.92,1.77765474608352,3.16655738388582
33,30099,"DRESSER INDUSTRIES, INC.",1997,4917100,1732200,7363600,7419100,318000,1.81,576600,1.72,13.56,23.5,19.19,7.34,13.78,13.05,1.62,7.67,30.06,0.8,1.46,,,,31300,-2.49,237,157,1687400,3041200,37.61,4.25,20.37,34.49,51.91,81.63,27.41,12.07,1133800,622300,784200,1615800,7.629,8.21,74.23,2.14526855260214,3.98492153895541
34,30099,"DRESSER INDUSTRIES, INC.",1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.25,,,,,,,,,,,,,,
35,30099,"DRESSER INDUSTRIES, INC.",1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,30099,"DRESSER INDUSTRIES, INC.",2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,30099,"DRESSER INDUSTRIES, INC.",2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,30099,"DRESSER INDUSTRIES, INC.",2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,30099,"DRESSER INDUSTRIES, INC.",2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,30099,"DRESSER INDUSTRIES, INC.",2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,30099,"DRESSER INDUSTRIES, INC.",2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,30099,"DRESSER INDUSTRIES, INC.",2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,30099,"DRESSER INDUSTRIES, INC.",2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,30099,"DRESSER INDUSTRIES, INC.",2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,30099,"DRESSER INDUSTRIES, INC.",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,30099,"DRESSER INDUSTRIES, INC.",2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,30099,"DRESSER INDUSTRIES, INC.",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,30099,"DRESSER INDUSTRIES, INC.",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,30099,"DRESSER INDUSTRIES, INC.",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,30099,"DRESSER INDUSTRIES, INC.",2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,30099,"DRESSER INDUSTRIES, INC.",2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,30099,"DRESSER INDUSTRIES, INC.",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,30099,"DRESSER INDUSTRIES, INC.",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,30099,"DRESSER INDUSTRIES, INC.",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,30099,"DRESSER INDUSTRIES, INC.",2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,315189,DEERE & COMPANY,1992,11421500,2650300,3339029,6960700,37400,0.082,456900,4.57,-1.34,,1.36,2.69,3.71,12.11,4.14,6.56,67.69,1.76,1.87,,,,34500,-5.4,202,331,4945000,8771200,-4.69,1.26,22.57,12.35,22.64,0.66,0.21,0.19,778000,,4292100,1847900,8.605,4.6,66.68,1.06030109880488,1.64122152770139
57,315189,DEERE & COMPANY,1993,10670200,2085400,6327155,7753500,-920900,0.397999999999999,641400,2.7,11.39,,-38.89,-6.13,-9.38,10.9,3.48,9.65,66.55,1.55,1.68,,,,33070,-4.14,234,323,3768500,8584800,73.71,3.03,23.98,11.04,24.08,-3.07,-1.95,-1.23,961000,,2544100,711000,8.835,6.64,66,1.39753284849393,1.73936616194157
58,315189,DEERE & COMPANY,1994,12101400,2557900,5725386,9029800,603600,1.168,1223900,3.17,16.46,,26,7.06,11.92,10.04,3.05,13.55,64.71,0.53,0.65,,,,34252,3.57,264,353,5798100,9543500,-7.64,2.24,23.19,10.87,23.95,6.78,6.31,3.84,1144000,,-2006400,1105500,9.759,10.08,63.69,1.26174541788553,1.36135924586715
59,315189,DEERE & COMPANY,1995,13207600,3085400,9234608,10291000,706100,1.355,1485100,2.13,13.96,16.98,25.02,7.6,12.28,9.73,3.18,14.43,63.27,1.13,1.25,,,,33375,-2.56,308,396,6243400,10122200,63.02,2.99,23.81,10.7,21.2,11.25,11.82,7.65,1314000,,1550900,1690300,10.9709999999999,10.64,64.52,1.46558102910445,2.00991049866467
60,315189,DEERE & COMPANY,1996,13999700,3557200,10419277,11229000,817300,1.57,1688800,1.98,9.12,15.75,24.61,7.93,12.31,10.21,3.3,15.04,61.02,1.16,1.29,,,,33919,1.63,331,413,6417900,10442500,17.16,2.93,22.73,9.74,24.52,15.28,18.93,9.37,1584000,,1843200,2299500,10.741,9.98,63.66,1.49015886054701,2.17876309501163
61,315189,DEERE & COMPANY,1997,15776200,4147200,14579575,12791000,960100,1.89,1929300,1.41,13.91,17.47,24.92,8.29,12.55,10.32,3.22,15.08,60.67,1.06,1.21,,,,34420,1.48,372,458,7195200,11629000,45.85,3.52,21.98,10.25,23.95,15.6,18.61,9.82,2013000,,1538600,3048400,10.226,10.71,63.44,1.66127299349653,2.34601966788443
62,315189,DEERE & COMPANY,1998,17605200,4079800,7637192,13822000,1021400,2.08,2079400,2.68,8.05,6.38,24.83,8.14,11.95,9.47,3.22,15.04,66.54,0.66,0.81,,,,37000,7.5,374,476,8762600,13525400,-42.05,1.89,24.94,10.53,22.06,14.38,16.13,9.81,1970000,,-1702900,3839500,9.369,11.78,63.78,1.20206484447776,1.69507555698806
63,315189,DEERE & COMPANY,1999,16980100,4094300,10139552,11751000,239200,0.51,921700,2.03,-14.98,-76.58,5.85,3.48,4.89,11.59,3.9,7.84,66.95,0.58,0.76,,,,38700,4.59,304,439,7136700,12885800,34.62,2.49,24.1,,23.13,24.63,,8.35,,,-1706400,3855300,10.365,5.62,65.22,1.35601981142631,1.53365409248131
64,315189,DEERE & COMPANY,2000,19729000,4301900,10745701,13137000,485500,1.03,1454000,1.92,11.79,102.97,11.56,5.04,6.8,11.46,4.13,11.07,70.98,1.41,1.58,,,,43700,12.92,301,451,8888500,15427100,7.65,2.51,23.64,,23.86,11.76,,5.46,,,5154600,4117200,9.196,8.18,65.5,1.3266156926352,1.92603457111178
65,315189,DEERE & COMPANY,2001,21780000,3992200,10361903,11077400,-64000,-0.135,740900,2.02,-15.68,,-1.54,2.09,2.75,14.69,5.33,-10.21,76.17,1.48,1.64,,,,45100,3.2,246,483,9456600,17787800,-2.78,2.6,22.53,,27.57,-11.76,,4.35,,,6082200,3834800,14.129,5.02,78.73,1.29245651974288,1.5468980858446
66,315189,DEERE & COMPANY,2002,22277900,3163200,10953313,13947000,319200,0.665,1239800,1.92,25.9,,8.92,3.33,4.4,11.88,3.78,9.41,80.89,1.98,2.16,,,,43000,-4.66,324,518,7823700,19114700,7.03,3.49,21.52,3.2,26.03,,,,,,9045500,3912600,10.505,8.8,69.06,1.3496789643548,1.88036864030418
67,315189,DEERE & COMPANY,2003,24781900,4002100,15841069,15523600,643100,1.32,1599800,1.35,11.3,101.47,17.95,4.47,5.96,11.24,3.72,10.23,78.66,2.28,2.46,,,,43200,0.47,359,574,7861100,20779800,43.79,4.03,22.36,3.14,27.47,,,,,,11446300,4329500,7.756,9.08,66.96,1.47772644551063,2.08941842254453
68,315189,DEERE & COMPANY,2004,28225900,6392800,18366320,19944100,1406100,2.78,2705800,1.42,28.48,118.64,27.05,6.76,9.02,10.62,3.07,13.37,69.47,2.35,2.6,4000,8000,12000,46500,7.64,429,607,7888500,21833100,16,2.94,21.01,2.95,27.85,25.27,80.82,12.14,,,12658500,5445100,8.677,12.46,66.1,1.42420330264048,2.32883842785045
69,315189,DEERE & COMPANY,2005,33008700,6851500,16133332,21892500,1446800,2.935,2916800,1.78,9.77,2.89,21.85,6.34,8.37,10.13,3.09,13.15,73.1,1.93,2.12,3000,6000,9000,47400,1.94,462,696,11751500,26157200,-6.83,2.4,19.5,2.82,27.82,20.98,64.88,9.92,,,13115900,6556100,7.432,9.39,67.44,1.28119350353088,2.07315555911264
70,315189,DEERE & COMPANY,2006,34138200,7491200,21603047,22058800,1693800,3.08,3191300,1.64,4.22,17.07,23.62,7.01,8.94,10.54,3.29,14.58,72.46,1.83,1.98,47000,16000,63000,46500,-1.9,474,734,12787500,26647000,41.87,2.88,19.75,3.03,30.11,15.89,49.42,7.69,,,12556900,7886800,7.616,9.9,67.53,1.41337407947694,2.19944385972373
71,315189,DEERE & COMPANY,2007,37176200,7155800,40938915,23999200,1821700,4,3826700,0.98,8.8,7.55,24.87,7.21,9.16,10.92,3.4,15.6,75.26,1.62,1.77,123000,29000,152000,52000,11.83,462,715,15738100,30020400,97.81,5.85,22.36,3.37,32.89,22.6,67.63,10.72,,,12102200,9031700,9.31299999999999,11.24,65.75,1.90872964423475,2.52776559565396
72,315189,DEERE & COMPANY,2008,37294000,6532700,16182393,28416600,2052800,4.7,4260800,2.77,18.41,12.69,29.99,7.5,9.65,10.42,3.32,14.92,77.44,1.64,1.85,161000,48000,209000,56700,9.04,501,658,15083300,30761300,-57.71,2.48,27.11,3.48,38.74,27.62,90.29,10.64,,,12753300,10580600,8.094,10.98,67.04,1.25874652759156,2.25455242902408
73,315189,DEERE & COMPANY,2009,38327800,4818700,22893180,23103400,873500,2.06,2746200,2.07,-18.7,-57.45,15.39,4.73,6.13,12.04,4.23,10.66,83.59,2.12,2.31,,,105000,51262,-9.59,451,748,12585300,33509100,44.08,4.77,29.67,4.24,34.46,13.07,19.82,4.04,,0,16538600,10980500,7.211,10.74,67.83,1.47157624491883,2.16200812582246
74,315189,DEERE & COMPANY,2010,40789700,6290300,35062081,26004600,1865000,4.35,3836600,1.4,12.56,113.51,33.58,6.05,7.97,11.42,4.05,14.75,79.44,2.08,2.3,,,85000,55700,8.66,467,732,14219700,34486300,55.68,5.57,29.52,4.31,36.12,88.83,194.08,36.28,,0,18436800,12353100,9.164,12.18,64.57,1.70536878182482,2.51794613079929
75,315189,DEERE & COMPANY,2011,45348800,6800300,31409504,32012500,2799900,6.63,5169200,1.97,23.1,50.13,42.78,7.93,10.66,9.9,3.83,16.12,79.6,1.82,2.07,68000,36000,104000,61300,10.05,522,740,17552200,38533900,-5.03,4.7,29.32,4.46,39.98,88.45,225.61,35.66,,0,18754500,14519400,8.665,11.4,66.87,1.54266494372508,2.50859885590255
76,315189,DEERE & COMPANY,2012,52985400,6842100,33514137,36157100,3063900,7.63,5839200,2.07,12.95,9.43,44.92,7.69,10.41,9.45,3.96,15.27,82.53,1.97,2.24,62000,47000,109000,66900,9.14,540,792,19091400,46123400,14.04,4.9,27.01,4.28,35.95,12.8,31.15,5.44,,7497000,23627600,16875200,8.665,11.34,68.31,1.50338464935623,2.45621259417684
77,315189,DEERE & COMPANY,2013,57195900,10265800,34018993,37795400,3536400,9.086,6224700,2.18,4.53,15.42,41.34,7.29,9.56,9.54,3.91,16.47,77.05,0.59,0.81,61000,27000,88000,67000,0.15,564,854,21978500,46928200,7.98,3.31,23.86,4.32,35.71,18.64,46.96,8.6,,5416700,-4133300,19645600,0.283,12.36,67.07,1.41529537956391,1.84244259625337
78,315189,DEERE & COMPANY,2014,58559800,9062600,30566774,36066900,3160700,8.633,5456400,2.51,-4.57,-10.62,32.71,6.2,7.9,9.11,4.03,15.14,80.34,0.65,0.86,54000,36000,90000,59600,-11.04,605,983,20269800,49494300,-0.7,3.37,21.75,4.14,36.45,21.61,48.68,8.98,,6496500,-2862700,22004400,5.42899999999999,11.59,68.1,1.36721734022315,1.75517244847197
79,315189,DEERE & COMPANY,2015,55180300,6743400,24153741,28862800,1939200,5.771,3722100,3.15,-19.97,-38.65,24.54,4.49,5.68,9.96,4.94,10.6,84.52,0.68,0.87,,,96000,57200,-4.03,505,965,19317700,48422700,-11.08,3.58,21.04,3.77,33.32,22.72,33.37,7.23,,6787700,-2428300,23144800,5.871,12.13,69.72,1.31551733136644,1.57412270043739
80,315189,DEERE & COMPANY,2016,55017000,6520000,32433677,26644000,1523200,4.811,3137700,2.33,-7.69,-21.45,22.97,3.84,4.93,10.37,5.21,10.99,84.51,0.75,0.93,,,131000,56800,-0.7,469,969,18046400,48472200,38.25,4.97,20.85,1.03,35.05,25.03,128.82,7.85,,8274500,-1197300,23911300,7.167,12.95,67.57,1.47101217805405,1.65146748798508
81,315189,DEERE & COMPANY,2017,63371300,9557300,50371382,29737700,2158500,6.676,3862300,1.53,11.61,41.71,26.85,4.43,5.71,10.31,4.6,14.03,80.71,0.88,1.06,,,139000,60500,6.51,492,1047,21227900,53796800,54.22,5.27,20.3,0.94,37.87,31.07,216.72,11.51,,7417900,1330700,25301300,8.06299999999999,11.74,65.29,1.64404678458545,1.8116453092196
82,315189,DEERE & COMPANY,2018,69300000,11287800,47503992,37354700,2368000,9.386,4985300,1.73,25.61,9.71,22.72,4.63,5.95,9.17,4.44,13.8,78.9,0.63,0.89,,,1080000,74000,22.31,505,936,23320600,57994800,-3.04,4.21,18.03,1.68,40.08,29.4,130.24,10.13,,5751000,-2484800,27553000,7.45299999999999,15.78,67.43,1.52260017316017,1.77609790156944
83,315189,DEERE & COMPANY,2019,71545000,11413000,54254708,39281000,3253000,9.93799999999999,4933000,1.75,5.16,37.37,28.66,5.57,7.1,9.04,4.54,14,79.87,0.65,0.91,,,1028000,73500,-0.68,534,973,23141000,60114000,18.19,4.75,16.62,6.02,46.67,80.3,102.53,24.08,,5953000,-2163000,29852000,5.86,12.92,67.28,1.59880785519603,1.86046836664959
84,47217,HP INC,1992,13700000,7499000,17526327,16410000,549000,0.436,1421000,1.14,13.22,-27.28,7.43,4.77,6.82,25.76,9.87,8.56,19.43,0.89,1.51,,,,92600,4.04,177,148,5094000,6201000,23.99,2.34,25.07,43.03,66.83,48.43,11.54,6.2,,,2585000,6625000,5.637,6.81,51.71,1.73192167883211,4.1273700867649
85,47217,HP INC,1993,16736000,8511000,19964327,20317000,1177000,0.581,1904000,1.2,23.81,114.39,14.7,8.26,12.16,22.41,8.67,9.25,25.13,0.85,1.49,,,,96200,3.89,211,174,6868000,8225000,14.42,2.35,23.87,44.86,72.18,57.32,14.34,7.34,,,3368000,7574000,6.02,9.28,55.51,1.6843527127151,3.90869637810562
86,47217,HP INC,1994,19567000,9926000,25450847,24991000,1599000,0.767,2578000,1.15,23.01,35.85,17.35,9.37,14,19.71,8.11,10.2,23.3,0.91,1.52,,,,98400,2.29,254,199,8230000,9641000,27.88,2.56,23,46.22,54.11,58.22,16.41,10.97,,,4279000,8893000,5.866,9.8,57.96,1.79341989063218,4.18183276397548
87,47217,HP INC,1995,24427000,11839000,42708731,31519000,2433000,1.157,3838000,0.9,26.12,52.16,22.36,11.67,17.91,17.88,7.3,11.32,24.67,0.85,1.48,,,,102300,3.96,308,239,10944000,12588000,69.21,3.71,25.03,53.31,55.7,60.82,16.66,12.36,,0,5295000,10968000,7.684,10.31,59.88,2.26375449297908,4.72035685936341
88,47217,HP INC,1996,27699000,13438000,50959681,38420000,2586000,1.23,4021000,0.92,21.89,6.29,20.46,10.74,16.53,16.86,7.07,9.7,25.93,0.98,1.69,,,,112000,9.48,343,247,10623000,14261000,21.1,3.87,24.89,54.84,55.65,52.12,12.78,9.08,,0,7368000,12424000,6.182,9.12,62.99,2.35462222462904,4.94340561891658
89,47217,HP INC,1997,31749000,16155000,64934995,42895000,3119000,1.475,4670000,0.87,11.65,20.61,21.08,10.96,16.85,16.69,7.18,10.12,21.34,1.14,1.87,,,,121900,8.84,352,260,11219000,15594000,25.2,4.13,23.71,57.51,55.53,59.32,14.1,10.81,,0,9728000,14968000,7.425,9.78,62.39,2.53642618665154,5.34912849170274
90,47217,HP INC,1998,33673000,16919000,69365225,47061000,2945000,1.385,4326000,0.91,9.71,-5.58,17.81,9.47,15.2,16.56,7.13,8.16,16.35,0.88,1.6,,,,124600,2.21,378,270,13473000,16754000,10.51,,24.49,58.67,54.25,69.25,13.46,10.42,,,8111000,16909000,6.806,8.27,64.18,2.55751566536988,5.28376270770704
91,47217,HP INC,1999,35297000,18295000,114269724,42370000,3491000,1.67,4396000,0.56,-9.97,18.54,19.83,10.5,16.7,15.39,5.76,8.7,21.02,0.94,1.51,,,,84400,-32.26,502,418,14321000,17002000,67.45,6.44,25.65,,55.22,76.57,,12.07,,,7321000,18285000,8.301,9.88,67.04,3.71906178995382,6.60608799154923
92,47217,HP INC,2000,34009000,14209000,61463009,48782000,3697000,1.8,4882000,1.01,15.13,5.9,22.75,11.15,18.26,15.04,5.39,8.18,25.86,0.83,1.53,,,,88500,4.86,551,384,15197000,19800000,-43.94,4.43,28.76,,,77.16,,,,,8047000,14097000,10.35,11.25,68.59,2.38945599694198,4.62052007007146
93,47217,HP INC,2001,31704000,13953000,39823527,45226000,408000,0.32,962000,1.56,-7.29,-88.96,2.9,1.76,2.99,15.37,6.02,4.16,28.09,0.79,1.53,,,,86200,-2.6,525,368,13964000,17751000,-33.91,2.8,32.4,7.24,58.36,173.77,142.57,12.4,,,7341000,13693000,8.382,4.39,71.42,1.81600198713096,3.74096620704931
94,47217,HP INC,2002,68500000,36262000,52839205,56588000,-903000,-0.37,-840000,1.84,25.12,,-3.6,-1.53,-2.41,15.96,5.85,4,17.75,0.96,1.48,,,,141000,63.57,401,486,24310000,32238000,-13.92,1.46,33.72,4.04,58.82,119.1,97.4,8.09,,,11765000,11973000,12.3909999999999,8.67,70.44,1.24200299270073,2.21160075481489
